;X;Selection;View;Channel;Begin.Time..s.;End.Time..s.;Low.Freq..Hz.;High.Freq..Hz.;Common.Name;Species.Code;Confidence;Begin.Path;File.Offset..s.;fileName;session;parcelle;mydir;date;recorder;time;intervalle_confiance;Begin.File
1;4526068;7;Spectrogram 1;1;21;24;0;12000;Mésange charbonnière;gretit1;0.1053;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/191/Data2/SMU05114_20240511_122802.wav;21;SMU05114_20240511_122802.BirdNET.selection.table.txt;S8;191;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/191/Data2/;11/05/2024;SMU05114;122802;0.2;SMU05114_20240511_122802.wav
2;5671811;16;Spectrogram 1;1;39;42;0;12000;Mésange charbonnière;gretit1;0.14;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/S9/250/Data2/SMU05843_20240526_092902.wav;39;SMU05843_20240526_092902.BirdNET.selection.table.txt;S9;250;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S9/250/Data2/;26/05/2024;SMU05843;92902;0.2;SMU05843_20240526_092902.wav
3;2691092;11;Spectrogram 1;1;21;24;0;12000;Mésange charbonnière;gretit1;0.1184;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S4/276/Data2/SMU05843_20240407_081202.wav;21;SMU05843_20240407_081202.BirdNET.selection.table.txt;S4;276;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S4/276/Data2/;07/04/2024;SMU05843;81202;0.2;SMU05843_20240407_081202.wav
4;2546189;1;Spectrogram 1;1;48;51;0;12000;Mésange charbonnière;gretit1;0.2078;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S3/321/Data2/SMU10745_20240329_091702.wav;48;SMU10745_20240329_091702.BirdNET.selection.table.txt;S3;321;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S3/321/Data2/;29/03/2024;SMU10745;91702;0.3;SMU10745_20240329_091702.wav
5;3642780;2;Spectrogram 1;1;3;6;0;12000;Mésange charbonnière;gretit1;0.2642;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S6/279/Data2/SMU05843_20240502_071202.wav;3;SMU05843_20240502_071202.BirdNET.selection.table.txt;S6;279;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S6/279/Data2/;02/05/2024;SMU05843;71202;0.3;SMU05843_20240502_071202.wav
6;2992422;11;Spectrogram 1;1;33;36;0;12000;Mésange charbonnière;gretit1;0.2685;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S5/333/Data2/SMA02959_20240412_102802.wav;33;SMA02959_20240412_102802.BirdNET.selection.table.txt;S5;333;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S5/333/Data2/;12/04/2024;SMA02959;102802;0.3;SMA02959_20240412_102802.wav
7;2223865;17;Spectrogram 1;1;45;48;0;12000;Mésange charbonnière;gretit1;0.3165;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S3/291_2/Data2/2MU00926_20240406_172602.wav;45;2MU00926_20240406_172602.BirdNET.selection.table.txt;S3;291_2;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S3/291_2/Data2/;06/04/2024;2MU00926;172602;0.4;2MU00926_20240406_172602.wav
8;4983358;5;Spectrogram 1;1;9;12;0;12000;Mésange charbonnière;gretit1;0.3492;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/286/Data2/SMU05131_20240513_191302.wav;9;SMU05131_20240513_191302.BirdNET.selection.table.txt;S8;286;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/286/Data2/;13/05/2024;SMU05131;191302;0.4;SMU05131_20240513_191302.wav
9;2258457;5;Spectrogram 1;1;27;30;0;12000;Mésange charbonnière;gretit1;0.3303;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S3/291_2/Data2/2MU00926_20240413_091302.wav;27;2MU00926_20240413_091302.BirdNET.selection.table.txt;S3;291_2;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S3/291_2/Data2/;13/04/2024;2MU00926;91302;0.4;2MU00926_20240413_091302.wav
10;1285190;14;Spectrogram 1;1;36;39;0;12000;Mésange charbonnière;gretit1;0.4979;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S2/284/Data2/SMU10745_20240321_131102.wav;36;SMU10745_20240321_131102.BirdNET.selection.table.txt;S2;284;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S2/284/Data2/;21/03/2024;SMU10745;131102;0.5;SMU10745_20240321_131102.wav
11;5219383;17;Spectrogram 1;1;54;57;0;12000;Mésange charbonnière;gretit1;0.4489;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/303/Data2/SMA02959_20240514_170102.wav;54;SMA02959_20240514_170102.BirdNET.selection.table.txt;S8;303;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/303/Data2/;14/05/2024;SMA02959;170102;0.5;SMA02959_20240514_170102.wav
12;2735077;1;Spectrogram 1;1;0;3;0;12000;Mésange charbonnière;gretit1;0.4416;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S4/277/Data2/SMU04088_20240407_141802.wav;0;SMU04088_20240407_141802.BirdNET.selection.table.txt;S4;277;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S4/277/Data2/;07/04/2024;SMU04088;141802;0.5;SMU04088_20240407_141802.wav
13;2261271;5;Spectrogram 1;1;21;24;0;12000;Mésange charbonnière;gretit1;0.5108;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S3/291_2/Data2/2MU00926_20240413_152002.wav;21;2MU00926_20240413_152002.BirdNET.selection.table.txt;S3;291_2;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S3/291_2/Data2/;13/04/2024;2MU00926;152002;0.6;2MU00926_20240413_152002.wav
14;2849963;16;Spectrogram 1;1;51;54;0;12000;Mésange charbonnière;gretit1;0.5606;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S4/336/Data2/SMU05838_20240407_112902.wav;51;SMU05838_20240407_112902.BirdNET.selection.table.txt;S4;336;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S4/336/Data2/;07/04/2024;SMU05838;112902;0.6;SMU05838_20240407_112902.wav
15;1014634;2;Spectrogram 1;1;3;6;0;12000;Mésange charbonnière;gretit1;0.5214;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S2/211/Data2/SMU05742_20240323_082702.wav;3;SMU05742_20240323_082702.BirdNET.selection.table.txt;S2;211;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S2/211/Data2/;23/03/2024;SMU05742;82702;0.6;SMU05742_20240323_082702.wav
16;5247593;7;Spectrogram 1;1;36;39;0;12000;Mésange charbonnière;gretit1;0.69;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/303/Data2/SMA02959_20240519_172802.wav;36;SMA02959_20240519_172802.BirdNET.selection.table.txt;S8;303;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/303/Data2/;19/05/2024;SMA02959;172802;0.7;SMA02959_20240519_172802.wav
17;4727114;6;Spectrogram 1;1;15;18;0;12000;Mésange charbonnière;gretit1;0.6832;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/276/Data2/2MU00926_20240515_140502.wav;15;2MU00926_20240515_140502.BirdNET.selection.table.txt;S8;276;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/276/Data2/;15/05/2024;2MU00926;140502;0.7;2MU00926_20240515_140502.wav
18;4686637;6;Spectrogram 1;1;12;15;0;12000;Mésange charbonnière;gretit1;0.697;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/236/Data2/SMU04074_20240517_190402.wav;12;SMU04074_20240517_190402.BirdNET.selection.table.txt;S8;236;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/236/Data2/;17/05/2024;SMU04074;190402;0.7;SMU04074_20240517_190402.wav
19;2693850;10;Spectrogram 1;1;21;24;0;12000;Mésange charbonnière;gretit1;0.8;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S4/276/Data2/SMU05843_20240407_131102.wav;21;SMU05843_20240407_131102.BirdNET.selection.table.txt;S4;276;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S4/276/Data2/;07/04/2024;SMU05843;131102;0.8;SMU05843_20240407_131102.wav
20;5937214;15;Spectrogram 1;1;45;48;0;12000;Mésange charbonnière;gretit1;0.7574;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/S9/302/Data2/2MU00926_20240524_201502.wav;45;2MU00926_20240524_201502.BirdNET.selection.table.txt;S9;302;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S9/302/Data2/;24/05/2024;2MU00926;201502;0.8;2MU00926_20240524_201502.wav
21;2077939;12;Spectrogram 1;1;27;30;0;12000;Mésange charbonnière;gretit1;0.7153;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S3/282/Data2/SMU05114_20240402_090602.wav;27;SMU05114_20240402_090602.BirdNET.selection.table.txt;S3;282;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S3/282/Data2/;02/04/2024;SMU05114;90602;0.8;SMU05114_20240402_090602.wav
22;3197684;19;Spectrogram 1;1;30;33;0;12000;Mésange charbonnière;gretit1;0.8496;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S6/177/Data2/SMU04088_20240505_061802.wav;30;SMU04088_20240505_061802.BirdNET.selection.table.txt;S6;177;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S6/177/Data2/;05/05/2024;SMU04088;61802;0.9;SMU04088_20240505_061802.wav
23;1378621;15;Spectrogram 1;1;36;39;0;12000;Mésange charbonnière;gretit1;0.8205;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S2/288/Data2/SMU04074_20240320_141702.wav;36;SMU04074_20240320_141702.BirdNET.selection.table.txt;S2;288;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S2/288/Data2/;20/03/2024;SMU04074;141702;0.9;SMU04074_20240320_141702.wav
24;6434182;19;Spectrogram 1;1;51;54;0;12000;Mésange charbonnière;gretit1;0.8456;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/S10/310/Data2/2MU00926_20240530_122502.wav;51;2MU00926_20240530_122502.BirdNET.selection.table.txt;S10;310;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S10/310/Data2/;30/05/2024;2MU00926;122502;0.9;2MU00926_20240530_122502.wav
25;4069810;28;Spectrogram 1;1;54;57;0;12000;Mésange charbonnière;gretit1;0.9218;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S7/239/Data2/SMU04077_20240510_060302.wav;54;SMU04077_20240510_060302.BirdNET.selection.table.txt;S7;239;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S7/239/Data2/;10/05/2024;SMU04077;60302;1;SMU04077_20240510_060302.wav
26;4705552;11;Spectrogram 1;1;36;39;0;12000;Mésange charbonnière;gretit1;0.9145;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S8/236/Data2/SMU04074_20240520_110602.wav;36;SMU04074_20240520_110602.BirdNET.selection.table.txt;S8;236;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S8/236/Data2/;20/05/2024;SMU04074;110602;1;SMU04074_20240520_110602.wav
27;4032155;8;Spectrogram 1;1;33;36;0;12000;Mésange charbonnière;gretit1;0.975;/cbc/birdnet/pshnas2/data/TERRAIN_2024_NAS/PRINTEMPS/Encours/S7/233/Data2/SMU05837_20240511_150502.wav;33;SMU05837_20240511_150502.BirdNET.selection.table.txt;S7;233;N:/tdelattre/data/TERRAIN_2024_NAS/PRINTEMPS/S7/233/Data2/;11/05/2024;SMU05837;150502;1;SMU05837_20240511_150502.wav
